,Area,Section,Field,Var,Cat,Age,Ha,T/Cane,TCH,TCHM,Month Cut,Year,Date Cut
,1,7,0715,NCo376,1,10.22,13.5,645.03,47.78,4.6751467710371815,August,1995.0,24/08/1995
,1,7,0716,NCo376,1,10.22,13.8,897.966,65.07,6.36692759295499,August,1995.0,18/08/1995
,1,6,0601,NCo376,1,10.29,7.3,1066.9679999999998,146.16,14.204081632653063,August,1995.0,03/08/1995
,2,11,1110,NCo376,1,10.38,11.6,1435.964,123.78999999999999,11.92581888246628,August,1995.0,11/08/1995
,1,6,0602,NCo376,1,10.42,8.7,1193.988,137.24,13.170825335892514,August,1995.0,04/08/1995
,1,7,0719,NCo376,1,10.45,4.9,34.00600000000001,6.940000000000001,0.6641148325358853,August,1995.0,18/08/1995
,3,61,6125,NCo376,P,10.45,10.3,1238.987,120.29,11.511004784688996,August,1995.0,11/08/1995
,1,6,0617,NCo376,2,10.52,6.1,622.9929999999999,102.13,9.708174904942966,August,1995.0,31/08/1995
,2,18,1826,NCo376,1,10.52,10.3,1285.0280000000002,124.76000000000002,11.859315589353615,April,1995.0,10/04/1995
,1,7,0712,NCo376,1,10.58,5.9,329.987,55.93,5.286389413988657,August,1995.0,18/08/1995
,1,1,0139,NCo376,1,10.61,13.7,1727.9809999999998,126.13,11.887841658812441,July,1995.0,12/07/1995
,2,15,1516,NCo376,1,10.65,18.4,2918.056,158.59,14.891079812206572,June,1995.0,24/06/1995
,2,18,1830,NCo376,1,10.68,23,2596.93,112.91,10.572097378277153,May,1995.0,12/05/1995
,1,6,0623,NCo376,1,10.78,13.3,1268.953,95.41,8.85064935064935,September,1995.0,01/09/1995
,2,19,1919,NCo376,1,10.78,22,2689.94,122.27,11.342300556586272,August,1995.0,29/08/1995
,2,26,2633,NCo376,1,10.78,5.3,371,70.0,6.4935064935064934,August,1995.0,24/08/1995
,1,7,0710,NCo376,1,10.88,13.9,839.004,60.36,5.547794117647058,August,1995.0,24/08/1995
,2,26,2641,NCo376,1,10.91,14.1,575.985,40.85,3.7442713107241063,August,1995.0,17/08/1995
,3,61,6117,NCo376,1,10.91,10.6,663.984,62.64000000000001,5.741521539871678,November,1995.0,08/11/1995
,1,23,2311,NCo376,P,11.01,14.8,1980.98,133.85,12.157129881925522,June,1995.0,15/06/1995
,1,22,2217,NCo376,1,11.04,18,3290.94,182.83,16.560688405797105,August,1995.0,06/08/1995
,2,19,1908,NCo376,1,11.04,17,1326,78.0,7.065217391304349,October,1995.0,06/10/1995
,2,9,0920,NCo376,P,11.07,10,1178,117.8,10.64137308039747,April,1995.0,11/04/1995
,1,3,0317,NCo376,1,11.11,10.9,916.0360000000001,84.04,7.564356435643566,August,1995.0,08/08/1995
,3,66,6610,NCo376,1,11.17,12.3,1038.981,84.47,7.562220232766339,November,1995.0,15/11/1995
,1,7,0731,NCo376,1,11.21,5,500,100.0,8.920606601248885,July,1995.0,26/07/1995
